Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Eastwest Bank  National Association,1993 South Kihei Road,KIHEI,HI,96753,20.73019,-156.451526,
Bank USA  N.A.,1325 South Kihei Road,KIHEI,HI,96753,20.748753,-156.455411,
Ohana Pacific Bank,1357 Kapiolani Boulevard  Suite 102,HONOLULU,HI,96814,21.294008,-157.844691, 
Island Federal Savings and Loan Association,909 Kapiolani Blvd,HONOLULU,HI,96814,21.297323,-157.851438,
First Interstate Bank of Hawaii,1314 South King Street,HONOLULU,HI,96814,21.298881,-157.841505,
First Hawaiian Creditcorp  Inc.,1314 South King Street  2nd Floor,HONOLULU,HI,96814,21.29984665,-157.8438721,
Federal Finance & Mortgage  Ltd.,1360 South Beretania  Suite 400,HONOLULU,HI,96814,21.300487,-157.840219,
Pacific Rim Bank,500 Ala Moana Boulevard  Suite 2a,HONOLULU,HI,96813,21.302636,-157.863201,http://www.pacificrimbank.com
Bancorp Finance of Hawaii  Inc.,600 Kapiolani Boulvard,HONOLULU,HI,96813,21.303281,-157.855409,
Standard Financial Corp.,715 South King Street,HONOLULU,HI,96813,21.30332,-157.853955,
GECC Financial Corporation,700 Bishop Street,HONOLULU,HI,96813,21.307042,-157.863482,
Pacific Savings and Loan Association,249 Merchant Street,HONOLULU,HI,96813,21.307056,-157.86102,
City Bank,201 Merchant Street,HONOLULU,HI,96813,21.307291,-157.861328,
First Savings and Loan Association,765 Bishop Street,HONOLULU,HI,96813,21.307343,-157.863049,
Central Pacific Bank,220 South King Street,HONOLULU,HI,96813,21.307506,-157.860747,http://www.centralpacificbank.com
Honfed Bank  A FSB,188 Merchant Street,HONOLULU,HI,96813,21.30752,-157.861606,
Rainbow Financial Corporation,841 Bishop Street  Suite 142,HONOLULU,HI,96813,21.307745,-157.862488,
First Hawaiian Bank,999 Bishop Street,HONOLULU,HI,96813,21.308382,-157.861597,http://www.fhb.com
American Savings Bank  FSB,1001 Bishop Street  Suite 100,HONOLULU,HI,96813,21.308488,-157.861478,http://www.asbhawaii.com
Territorial Savings and Loan Association,1000 Bishop Street,HONOLULU,HI,96813,21.308498,-157.861433,
First Federal Savings and Loan Association of Amer,851 Fort Street,HONOLULU,HI,96813,21.308569,-157.863144,
Bank of America  Federal Savings Bank,1099 Alakea Street,HONOLULU,HI,96813,21.30873,-157.859647,
American Savings Bank  FSB,915 Fort Street Mall,HONOLULU,HI,96813,21.30885,-157.86261,
Paradise Finance  Inc.,197 South Hotel Street,HONOLULU,HI,96813,21.308865,-157.859664,
Pioneer Federal Savings Bank,900 Fort Street Mall,HONOLULU,HI,96813,21.308928,-157.862463,
Bank of Hawaii,111 South King Street,HONOLULU,HI,96813,21.308947,-157.861896,http://www.boh.com
International Savings and Loan Association LTD,1111 Bishop Street,HONOLULU,HI,96813,21.309465,-157.860064,
Territorial Savings Bank,1132 Bishop Street  22nd Floor,HONOLULU,HI,96813,21.309745,-157.859666,http://www.territorialsavings.net
Finance Factors  Ltd.,1164 Bishop Street,HONOLULU,HI,96813,21.310204,-157.859019,http://www.financefactors.com
Hawaii National Bank,45 North King Street  7th Floor,HONOLULU,HI,96817,21.311047,-157.863119,http://www.hawaiinational.com
New People's Savings and Loan Association,1188 Fort Street Mall,HONOLULU,HI,96813,21.311084,-157.859465,
FIRST STATE BANK OF THE FLORIDA KEYS,1201 Simonton Street,NAVAL AIR STATIO,FL,33040,24.549925,-81.796415,http://www.keysbank.com
Key West Bank,701 Whitehead Street,NAVAL AIR STATIO,FL,33040,24.553014,-81.802278,http://www.keywestbank.cc
Southeast Bank of the Florida Keys  National Assoc,Duval And Front Streets,NAVAL AIR STATIO,FL,33040,24.560199,-81.80605,
Barnett Bank of the Keys,1010 Kennedy Drive,NAVAL AIR STATIO,FL,33040,24.566439,-81.767821,
First Federal Savings and Loan Association of the ,1010 Kennedy Drive,NAVAL AIR STATIO,FL,33040,24.566439,-81.767821,
Marine Bank of the Florida Keys,11290 Overseas Highway,MARATHON,FL,33050,24.719904,-81.062824,
Citizens and Southern Bank of Monroe County,Main Street,MARATHON,FL,33050,24.72791862,-81.03858185,
Marine Bank,11290 Overseas Highway,MARATHON,FL,33050,24.72791862,-81.03858185,http://www.ourmarinebank.com
Barnett Bank of the Keys,U.S. Highway 1 Mm 92.3,TAVERNIER,FL,33070,25.01078796,-80.52181244,
TIB Bank of the Keys,99451 South Overseas Highway,OCEAN REEF,FL,33037,25.091505,-80.443145,
TIB Bank,99451 South Overseas Highway,OCEAN REEF,FL,33037,25.091505,-80.443145,http://www.tibbank.com
Homestead Federal Savings Bank,600 North Homestead Boulevard,HOMESTEAD,FL,33030,25.464202,-80.475031,
Barnett Bank of Homestead,499 English Avenue,HOMESTEAD,FL,33030,25.473968,-80.475296,
Great American Bank of Homestead,850 Homestead Boulevard,HOMESTEAD,FL,33030,25.477897,-80.464692,
1st National Bank of South Florida,1550 North Krome Avenue,HOMESTEAD,FL,33030,25.484899,-80.477538,http://www.1stnatbank.com
Community Bank of Florida  Inc.,28801 S.W. 157th Avenue,HOMESTEAD,FL,33033,25.499181,-80.444917,http://www.communitybankfl.com
Creditbank,20901 Southwest 112th Avenue,PERRINE,FL,33157,25.572755,-80.372342,
Florida International Bank,17945 Franjo Road,PERRINE,FL,33157,25.602988,-80.348382,
Sofisa Bank Florida,14095 South Dixie Highway,MIAMI,FL,33176,25.641462,-80.335153,http://www.sofisa.com
Mega Bank,11400 North Kendall Drive,MIAMI,FL,33176,25.65744972,-80.36266327,
Florida Savings Bank,8181 S.W. 117th Street,KENDALL,FL,33156,25.663013,-80.324921,
Commercial Bank of Kendall,8601 South Dixie Highway,KENDALL,FL,33156,25.66741,-80.32326,
Metro Bank of Dade County,9350 South Dixie Highway,KENDALL,FL,33156,25.6676693,-80.30853271,http://www.metrobankfl.com
UniBank,9795 South Dixie Highway,KENDALL,FL,33156,25.679582,-80.316904,
Consumers Savings Bank,9400 South Dadeland Boulevard  Suite 620,KENDALL,FL,33156,25.684887,-80.315272,
Capital Bank of Kendale,8900 S.W. 107th Avenue,KENDALL,FL,33156,25.685937,-80.365945,
Bank of North America,8701 S.W. 137th Avenue,MIAMI,FL,33183,25.686111,-80.416496,
Executive National Bank,9600 North Kendall Drive,MIAMI,FL,33176,25.687459,-80.348757,http://www.executivebank.com
Executive National Bank,9600 North Kendall Drive,KENDALL,FL,33156,25.688442,-80.322012,
Chase Federal Bank  a Federal Savings Bank,7300 North Kendall,KENDALL,FL,33156,25.688574,-80.313092,
Dadeland Bank,7545 North Kendall Drive,KENDALL,FL,33156,25.68867,-80.314566,
Southeast Bank of Dadeland,7100 North Kendall Drive,KENDALL,FL,33156,25.68874,-80.309249,
Key Biscayne Bank and Trust Company,95 West Mcintyre Street,KEY BISCAYNE,FL,33149,25.691172,-80.165661,
Key Biscayne Savings and Loan Association,85 Mcintire Street,KEY BISCAYNE,FL,33149,25.691186,-80.165077,
City National Bank of South Dade,8784 Sunset Drive,SOUTH MIAMI,FL,33143,25.702355,-80.334072,
Bank of Florida in Miami,6101 Sunset Drive,SOUTH MIAMI,FL,33143,25.7042,-80.291895,
Sunshine State Bank,5975 Sunset Drive,SOUTH MIAMI,FL,33143,25.704265,-80.29024,
The First National Bank of South Miami,5750 Sunset Drive,SOUTH MIAMI,FL,33143,25.704389,-80.286409,http://www.fnbsm.com
First National Bank of South Miami,5750 Sunset Drive,SOUTH MIAMI,FL,33143,25.704428,-80.286481,
Bristol Bank,1493 Sunset Drive,SOUTH MIAMI,FL,33143,25.704611,-80.282054,http://www.bristolbank.com
First City Bank of Dade County,1500 South Dixie Highway,CORAL GABLES,FL,33134,25.709485,-80.282956,
